Date,4BitcoinCash,3XRP,1Bitcoin,2Ethereum,5Tether,7Litecoin,8EOS,9BinanceCoin,11Chainlink,13Stellar,16Monero
06/11/2017,10104568884,7937111703,117050623317,28564296472,495731596,2963390868,416041141,155431187,58609600,479061086,1576560770
07/11/2017,10335114439,8105263338,119091456315,28165778801,516971256,3293059021,436394706,178862850,62138650,509252363,1528681781
08/11/2017,10440110926,8378182229,124360767999,29549552409,499970645,3362586560,521806493,201099414,74868150,560065828,1736814305
09/11/2017,10975433919,8380147337,119104730750,30685584327,538430292,3454692871,546246976,197114101,78389150,662633315,1851746657
10/11/2017,16904381673,7956107751,110354089394,28623188738,567451678,3186381939,478869135,177912316,65660700,548623234,1619278939
11/11/2017,22505049629,8108191735,106016076151,30105285828,599402282,3350986565,543649516,165399917,62919500,548293126,1834925367
12/11/2017,23332952165,7603775359,99226193603,29463540579,601469616,3174662071,512887018,150470586,59814300,467489620,1900531381
13/11/2017,22748149042,7857514002,109400650105,30312834756,599572201,3304148265,554812593,166998993,64074850,508531199,1893707210
14/11/2017,21398535582,8104043784,110683148744,32321383639,598075276,3374059000,792322316,157687716,65839900,603395248,1878462847
15/11/2017,20373957660,8224976687,122035826506,31919060540,595907109,3436473712,798321004,151535976,65148300,656403844,1863957656
16/11/2017,15138148704,8771529238,131328418537,31692795453,615319850,3827031146,792406168,156236171,59416350,659606859,1848061539
17/11/2017,19925103285,8751213596,128621507062,31840349187,644913317,3639939202,843884674,149546785,55877150,630160783,1946821109
18/11/2017,21088257259,8830236034,129997247838,33305160559,645504498,3752808798,934185083,165782111,59805200,648069075,2010373830
19/11/2017,19703757418,8922506124,134124196206,33961430090,676613749,3858885781,915391194,159785823,56823900,647776793,1990643585
20/11/2017,20781175181,9221563181,136881802624,35151847933,676262766,3895876984,974473014,160843292,56764050,675262806,2087790929
21/11/2017,19790794686,9009595604,134739693480,34552559750,672298686,3776954172,934360176,155853977,54240200,667237991,2179643580
22/11/2017,21917585065,9225420204,137797862084,36501878925,675068075,3878507510,928815306,159585815,58980250,749277480,2553477031
23/11/2017,28319832009,9362261033,134227860479,39340408036,671342933,3951301844,935524485,153342982,57534400,718036183,2441141983
24/11/2017,27728844881,9448776263,137831976173,45560021462,676539502,4208440987,935350575,170077338,67522350,711979858,2463685721
25/11/2017,26432512807,9748142132,146820557006,44741093552,678618400,4795225155,1024165345,185539364,63335650,773018242,2593909211
26/11/2017,29201004189,9610065370,155850742551,45235644662,680826560,4640580647,1229362445,183485814,64010800,866134833,2516566124
27/11/2017,27300835485,9807389615,164019464090,46111561438,675838548,4948735851,1438561848,192382222,64458800,1060055478,2671589288
28/11/2017,26018324623,11554108929,168056012886,45405717909,675062335,5189729757,1387641296,189820730,61748400,1444340367,3131835746
29/11/2017,22882899518,9387829374,165233728795,41057383009,732076009,4625810651,1376124336,173425991,50839250,1144361584,2591497371
30/11/2017,23391282947,9689628483,171020085600,42947937239,770205888,4776295620,1455252735,197727988,59661350,1294394109,2777783403
01/12/2017,24620981621,9875829341,183444663767,44823457369,771489437,5354697600,1659490666,204981753,62238050,1596583156,2945128778
02/12/2017,24157152873,9867834407,185122039035,44535863933,813735698,5425172171,2014198808,206361018,72764300,1666445145,3132576041
03/12/2017,26263371463,9754514905,189302389920,44776362724,814554599,5479554408,1862161181,220528932,80720150,1581524495,3087399521
04/12/2017,26552277518,9814930420,194912755450,45204145125,817004791,5642170447,2092122649,246711204,80353350,1733830790,3244689936
05/12/2017,25290985042,9533742326,199278350420,44548159326,815620962,5544450235,2202518091,256971034,109856950,2198933972,4161145261
06/12/2017,24085547561,9008555737,239024437136,41220997942,822084260,5435639653,2372837597,256217538,102049500,2704425496,4304481132
07/12/2017,22416587804,8631972508,299405364249,41789848007,839789137,5325979410,2095288549,275253969,91022400,2373092260,4338994024
08/12/2017,24663214945,9767106895,277185764485,43879256076,828344053,6767649865,2259558877,280275959,85829100,2448265495,4275482232
09/12/2017,23755016434,9479778657,253946084745,45570080683,827961465,8417983192,2147345493,258469116,83600650,2410170626,4055933197
10/12/2017,22291645665,9194077464,258615393665,42520479602,828466156,8063839922,2001414471,245888397,88514300,2127332759,3790206409
11/12/2017,23984344430,9750294106,283439888520,49597927198,854589510,11622977831,2324716541,267996243,91207200,2585864994,4320671235
12/12/2017,27216606687,14470658905,291483935710,62733982232,904360019,17159753614,2834735351,265827837,80998400,2791470993,4759398523
13/12/2017,27095413483,18248577789,274663619978,67692231422,913163059,16428650865,3918134389,275070793,91657300,2666054042,4731210136
14/12/2017,33141132956,33480809543,277310347000,67036917107,1027363100,15169467973,4530193986,312759482,107976050,3372416503,5033680894
15/12/2017,30603860847,29293805290,296482120238,65956174321,1035423527,16284702205,4396028507,395674796,112277550,3496644669,4835297457
16/12/2017,30378232773,29389142325,326502485530,67103695920,1127320456,16245954060,4675049664,461865655,119487550,4144040115,5067508529
17/12/2017,31410042966,28216275976,320576568850,69409025338,1129357068,17323822452,4482552439,569995874,146158600,4759887397,5443182601
18/12/2017,37042462022,30154821523,320174318520,76623897492,1133586954,19482623741,5040375684,556047772,152217450,4932390332,5911607601
19/12/2017,47321685586,30652619534,297801055828,79743740362,1181535444,19047802998,6799555397,573521763,153774600,4720226836,5846879335
20/12/2017,66171059189,30060181792,278528964015,79014430828,1169260419,17114472564,6608750773,512517257,130478600,4507287572,7274153721
21/12/2017,55113237296,46218124151,264788651530,79221896341,1229308444,17273490963,5862777258,512893510,148500450,4593278059,6480898958
22/12/2017,45494171559,44095993796,231788283457,65129109277,1239954549,14419250802,4365218193,429339556,149407300,3870314703,5366580653
23/12/2017,54954593738,45492927360,246349213910,69441297649,1273220583,15693563723,4737432460,479154490,202188000,4182163136,5923623516
24/12/2017,48988190394,40441730263,233414163395,67019237420,1246142445,15028955417,4564054845,523356320,190456700,4008414571,5231008878
25/12/2017,49863052971,43477717045,235126843805,73955757349,1231647176,14891746902,5498381272,649532830,175676550,4080938986,5600606030
26/12/2017,52470912753,46079825404,269908107763,74744613931,1223047462,15610545231,5546006340,894038992,182497350,4036453047,5924437086
27/12/2017,48773544483,54220856694,265559172050,73698377070,1222548045,14833811828,5988389249,1000734498,176925350,4093708543,6550988730
28/12/2017,43328187749,55431067579,244929825575,71219054808,1276446549,13625185918,5442850486,922950090,177343950,3992269640,5884086091
29/12/2017,46933895850,85791710178,245793634125,72835328712,1375805863,13387459289,5392950875,872075706,170221800,5767397608,5864235868
30/12/2017,40395783040,83638588508,217239803085,69338470696,1397298555,11943513791,4907487133,776369764,205144800,5772053114,5141910459
31/12/2017,42774211630,89122114461,237465823980,73170170967,1384862618,12663194467,5041642088,855043318,210543200,6442729108,5426213308
01/01/2018,41081678129,92626457504,229119155396,74724233458,1378049531,12499214454,5104026730,833164195,256747050,8572450040,5581120935
02/01/2018,45789806625,96107944451,251377913955,85552984077,1374793477,13957197179,5406250924,875062959,235799200,10096395937,5964399705
03/01/2018,44066024089,1.20299E+11,255080562912,93146829617,1386476964,13397610073,5944983688,944185622,238408450,16022043128,6411585177
04/01/2018,41055035639,1.23835E+11,261795321110,94924308783,1471804104,13183094320,6575441071,912314006,344528800,12944011352,6272888690
05/01/2018,43666146452,1.18104E+11,292544135538,96574936368,1466084426,13618156609,6341114748,1477011641,317620100,11847825840,5992584072
06/01/2018,47087244209,1.19858E+11,294217423675,1.00852E+11,1481287964,16200057346,7382566121,2253538837,372249500,12692260620,7050367555
07/01/2018,47096251512,1.30853E+11,276634797271,1.11671E+11,1470394738,15766532096,7375481946,1847284395,444661000,12508154526,7154336651
08/01/2018,40924901250,95151474965,254715263101,1.11245E+11,1481772434,13983422101,5727264865,1808084753,482055000,11252258285,6310711419
09/01/2018,40423910896,81421159857,245095808695,1.25918E+11,1476883695,13509671202,5530922304,1724011965,429898000,10471549539,6441143443
10/01/2018,48945566478,76506707920,251472635522,1.21689E+11,1469968992,13703530794,6745539241,1721932671,416048500,10142317836,6355609799
11/01/2018,41634454574,75572319796,225178724050,1.11937E+11,1470600270,12549854307,6778127512,2083521898,353615500,9984865520,5544166297
12/01/2018,44316550742,79152978766,234865160377,1.23427E+11,1477015823,12962893955,8234076885,2209626128,368046000,12128805963,6156715899
13/01/2018,45408790958,78305366321,241268592240,1.35401E+11,1471055378,14189082270,9758283455,2195576042,385430500,12014552653,6552526598
14/01/2018,43182003172,72100905208,231413491364,1.32555E+11,1491755445,13069624172,8121857985,2057243582,353794000,11286324603,6233759351
15/01/2018,40618867060,64955082926,232242775485,1.2532E+11,1477808591,12749749658,7848996613,1937179206,307190800,10721304063,6470253894
16/01/2018,29975361482,45682746768,193121120762,1.02231E+11,1673348625,10318360404,6256126299,1375492587,264758550,7893354977,4996098563
17/01/2018,29572177012,50606491820,188070430523,98429091487,1641601683,10221726464,6228808443,1406315645,244521900,8537268440,4983953588
18/01/2018,29722694803,61850140629,192907550324,1.00588E+11,1655484902,10570969164,6440509833,1413959526,260480500,9115817066,4942797699
19/01/2018,29943762140,60125086600,195158837709,1.00883E+11,1625436955,10580777289,6877837864,1479328568,284516750,9056966616,5696373157
20/01/2018,34388779314,61154385624,216907619830,1.12174E+11,1619886904,11573785098,9578538040,1603066364,426755000,9566699845,5997110229
21/01/2018,30068588224,53461566645,195089460991,1.01944E+11,1617865908,10446773723,8322820708,1392958656,310739800,8304227685,5393668388
22/01/2018,27453023400,52582575495,183866421285,97465684890,1626246001,9878115975,8488483306,1288627604,281000300,8689734178,4938742502
23/01/2018,27448541050,51796945678,182830257191,95831359552,1626262182,9759876577,8087782002,1296439809,280670950,8687107627,4823688870
24/01/2018,27750266009,52574827666,191115225673,1.02903E+11,1614019706,9882205701,8653951384,1349432102,277502050,10131381392,4964731064
25/01/2018,27804026890,50834665371,189455303273,1.02657E+11,1617435496,9900458587,8981241125,1309796798,266152950,10868259393,4961214335
26/01/2018,27159760943,47155996370,187995804677,1.02595E+11,1624789719,9709025118,9030386619,1308786855,248448550,11326835705,5065526288
27/01/2018,27581500502,47227276392,192550550498,1.07664E+11,1607290067,9940021814,9013762327,1312232542,273236250,10954210844,5030191634
28/01/2018,29576563672,54219304278,198389948175,1.21202E+11,2252553425,10656038484,9516622285,1340669363,266210350,11335884854,5200806765
29/01/2018,28070315174,51289462908,190164444830,1.15035E+11,2267427080,9988197030,8903833112,1263864203,244199200,10529458895,4958753462
30/01/2018,24912532404,44106838439,170151556678,1.04234E+11,2216772953,9089747498,7374103699,1113976810,208872300,8749366068,4292493409
31/01/2018,25191540894,45029992212,172099559942,1.08849E+11,2195576902,8986099109,7806255291,1103511030,217051100,9948367356,4275893116
01/02/2018,21593159858,37547540521,154428564694,1.00935E+11,2188182737,7830131933,6550906545,942201382,182121450,8413026634,3776625416
02/02/2018,20185147776,34514730026,148725283812,89173962074,2196625610,7231180059,6297674345,955711842,173100900,7466031202,3693862145
03/02/2018,21566075500,36046192831,154540000411,93890299032,2220045268,8822761363,6352526020,965354816,181495300,7926463694,3945064209
04/02/2018,19752812252,31819934387,139433682759,81310521832,2239600450,8151908186,5572991931,837523781,152029850,6954714441,3466922836
05/02/2018,15042848358,26986536508,117184385122,68005284183,2208955130,6903938802,4585049360,663891840,119527100,6105929898,2815778235
06/02/2018,16521414683,30286482112,130658094648,77294507868,2239511764,7879137720,5434877323,820712194,148836800,6834802124,3331203703
07/02/2018,16242319571,28238576299,128435001186,73796288509,2220244811,7617284052,4987997778,801519320,131869850,6306098922,3253377962
08/02/2018,21782508718,31412678173,139306699929,79733609806,2259066946,8240405570,5596555489,851074837,143878000,6701291920,3881373319
09/02/2018,22251745463,37231487854,147266052809,86191922699,2221818981,9041364283,6361534279,963451766,152317900,7392564403,4089669825
10/02/2018,21324826284,41768727766,145341842785,83922989198,2225344235,8582616174,6016221196,916470614,146955900,7499259276,3927215224
11/02/2018,20654142398,39171494176,137064586975,79476512347,2215480175,8220569162,5585035906,861907959,145654950,6820022864,3605423484
12/02/2018,21780634413,42169352413,150513128412,84767037716,2217340356,8916808662,6112906693,923055045,171598700,7292707726,3890461412
